"filename", "language", "Python", "CSS", "XML", "HTML", "JavaScript", "pip requirements", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\support.user2\django_project_form\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 68, 0, 0, 60, 128
"c:\Users\support.user2\django_project_form\blog\Templates\blog\about.html", "HTML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\support.user2\django_project_form\blog\Templates\blog\base.html", "HTML", 0, 0, 0, 73, 0, 0, 0, 0, 5, 14, 92
"c:\Users\support.user2\django_project_form\blog\Templates\blog\home.html", "HTML", 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\support.user2\django_project_form\blog\Templates\blog\post_confirm_delete.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\support.user2\django_project_form\blog\Templates\blog\post_detail.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\support.user2\django_project_form\blog\Templates\blog\post_form.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\support.user2\django_project_form\blog\Templates\blog\user_posts.html", "HTML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\support.user2\django_project_form\blog\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\support.user2\django_project_form\blog\admin.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\support.user2\django_project_form\blog\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\support.user2\django_project_form\blog\migrations\0001_initial.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 1, 7, 29
"c:\Users\support.user2\django_project_form\blog\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\support.user2\django_project_form\blog\models.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 4, 11, 28
"c:\Users\support.user2\django_project_form\blog\static\blog\main.css", "CSS", 0, 68, 0, 0, 0, 0, 0, 0, 0, 16, 84
"c:\Users\support.user2\django_project_form\blog\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\support.user2\django_project_form\blog\urls.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\support.user2\django_project_form\blog\views.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 4, 17, 78
